review,note
bien,1.0
bien,1.0
séjour global agréabl l'établ cour vent équip bout souffl heureux personnel rest courtois attent,1.0
superb bon situat l'hôtel personnel serviabl chambr confort climatis pet déjeun correct pourr amélior,1.0
superb,1.0
exceptionnel liter l'espac pet chambr valis vit pas quoi circul malheur mal insonoris entend bruit pas couloir escali parl matin entend femm chambr déplac lit manqu chanc pas serrur port sall bain toilet pet trou fais offic poignet,1.0
exceptionnel hotel top qualit acceuil agreabl pet dejeun sup cadr luxieux plac parking rien parf,1.0
fabul,1.0
exceptionnel,1.0
bien prix chambr quadrupl fonction périod,1.0
exceptionnel propret confort personnel pet déjeun,1.0
exceptionnel absolu rien,1.0
personnel accueil chaleur chambr top déjeun extra apéro terr extra chambr top pet truc plus caf eau gratuit arriv excellent acceuil déjeun r^ev mieux maison tré bon produir apéro cool plusieur bon vin plein bon chos dégust personnel souri chaleur servic client vrai excellent niveau bravo okko hotel rien c'est parf,1.0
superb,1.0
bien piscin hôtel mérit etrz rafraîch deco moyen,1.0
bien franch pet dejeun euros revoir pet dejeun,1.0
bien original simpliqu rien,1.0
bonjy reviendr volonti hotel entier rénov chambr pet cuvet toilet empech ouvr port douch plus contors plus 70kg sinon deco soigne eclairag fantast agenc piec sup grand tel bout lit ambianc douillettebon liter accueuil tre agreabl neuf hel chambr petit mem etoil,1.0
agréabl proxim gar prix fermetur heur cour messag arriv mail pouv pas consult tard couchag dur pet déjeun tass caf pet premi nuit voisin brui presqu tout nuit,1.0
bien,1.0
bien disponibil personnel assez brui chambr côt ru,1.0
séjour agréabl hôtel bien plac vu pet déjeun parfait pet déjeun copieux choix suffis,1.0
exceptionnel,1.0
bon adress studio supérieur propr mobili récent fonctionnel personnel charm bien situ proch commerc transport commun temp d'attent l'accueil heur point seul n'est vrai pas suffis l'équip matériel coin cuisin pourr amélior couvercl taill adapt poêl poêl taill plus réduit exempl,1.0
correspond attent pet déjeun vari copieux occup réception client pet déjeun femm sympath écout disponibl réception entrer accueil rien,1.0
bien accueil agréabl fréquent l'hôtel temp tr_es brui contr personnel s'en excus,1.0
exceptionnel,1.0
bien accueil matel leg,1.0
endroit agréabl proxim appart bien situ complet servic rapid lorsqu question prêt sécuritair recommand reviendr hic difficil reper port d'entr faudr mieux détaill indiqu rendr port lor l'arriv,1.0
agréabl confort calm parking pet déjeun,1.0
l'emplac cot familial manqu info recueil internet station métro rer,1.0
fabul,1.0
parf chambr pet fonctionnel liter excellent ains propret chambr pet déjeun parf bon qualit personnel magnif l'écout l'emplac l'hôtel minut pied parc exposit port versaill station métro minut nombreux bon restaur autour l'hôtel reviendr problem hôtel prochain salon moi septembr dir pet point négat avis perso moquet sol malheur beaucoup d'hôtel moquet chambr ménag bien n'est pas hygien sinon rien dir l'hôtel vrai bien déplac professionnel,1.0
n'ir pas pierr vacanc l'environ brui appréci propret studio contr trouv terr studio sal ains couloir,1.0
bien situ chambr accueil vu dégag hotel bien situ chambr sall bain propr accueil bouilloir vervein beaucoup bruit mauv isol bruit ru port chambr voisin pourt j'et 4em étag choix infus pas thé sucr compt goutt,1.0
sup lieu proxim métro pal sport l'accueil chaleur bagager proposit d'un thé arriv l'odeur matin viennoiser mont jusqu 4em étag envi mang,1.0
correspond attent d'un hôtel confort centr vill prix abord c'est espac suffis nuit coupl exclur pouvoir d'autr activ travail… sall bain fonctionnel wc sépar appréci chos,1.0
atyp rien,1.0
bien plac quarti agréabl pas métro chambr spacieux liter confort mauv insonoris entre chambr ascenseur brui,1.0
reviendr agenc architectur intérieur superb sall bain couloir estt symp aucun intim vis vis enfant,1.0
superb accueil hôtel calm bien situ pet déjeun,1.0
bien pet déjeun vari emplac tre proch metro personnel tre écout couloir assez brui chambr mal isol,1.0
bien ras rien,1.0
mag présent endroit magiqu qualit somptueux personnel professionnel rep version original topissim appréci séjour famill pet grand,1.0
répondu attent personnel accueil sympath,1.0
bien voisin crient isol léger,1.0
bien accueil réception jour nuit souri soucieux bien client femm ménag entré chambr repris 1/2 heur intervall frapp pas panonceau pas dérang disposit,1.0
bien reproch,1.0
superb,1.0
exceptionnel,1.0
bien,1.0
bien,1.0
excellent prestat taill chambr ponctual pet déjeun serv chambr confort excellent prestat prix élev,1.0
exceptionnel l'accueil professionnel chaleur personnel calm qualit équip l'emplac parf tempêt condit extrêm temper fenêtr sall bain n'est pas étanch l'eau s'infiltr l'extérieur,1.0
rest nuit j'aur aim davantag l'hôtel idéal situ pres gar pres croiset ru calm pas pris pet déjeun déjeun pas matin l'accueil correspond exact j'aim souri agréabl disponibl discret retourn coeur c'et d'ailleur 2iem séjour,1.0
séjour retourn rev cann personnel chaleur répond demand bien guid déplac vill visit pet déjeun symp dev jardinet tranquill indiqu parc croix-des-gard balad fin séjour excellent ajout bouilloir mang soir arriv ménag jour chambr rez-de-chauss l'isol phoniqu perm d'êtr l'heur,1.0
séjour bien reçu agréabl beau hotel confort liter bien insonoris pet déjeun self servic assez complet vari frai bel décor général pas pet frigo chambr difficil gard boisson frai nuit éloign centr manqu pet sall fitness hammam saun,1.0
fabul amabl personnel hôtel bien situ proch gar montparn chambr spacieux propr excellent pet déjeun rien,1.0
exceptionnel personnel serviabl sympath bien,1.0
dommag intérêt malencontr cass appliqu appliqu mural plus basic etait renfonc honnêt signal résultat pai cher appliqu nuit hôtel,1.0
agréabl,1.0
bien chambr rénov confort booking vendu chambr communic jeun enfant établ possed pas genr chambr tromp hôtel traval chambr neuv confort couloir plein poussi plastiqu protect surtout traval commenc 7h30 matin genr détail doivent indiqu clair lor réserv point rendr séjour décev hôtel personnel emplac plair condit normal,1.0
bien situat accueil suit junior exigu,1.0
bien emplac quarti proxim commerc exiguït chambr couloir ascenseur,1.0
bien,1.0
exceptionnel disponibil servic équip ras,1.0
séjour sympath pluvieux confort chambr l'accueil personnel l'emplac l'hôtel rapport qualité-prix lorsqu mis valis consign venus récuper personnel l'hôtel pas cherch voir prenion valis nôtr n'import entrer prendr valis quelqu'un d'autr c'est dommag,1.0
fabul gentilless l'accueil personnel propret rien,1.0
bien piscin l'appart propret ter sdb rideau rempl poussi,1.0
étap accueil personnel symp pet déjeun offert symp attent adress gp évolu nécessair bienvenu bien plac zon commercial ambianc cheap,1.0
bien,1.0
bien merc toufik accueil chaleur,1.0
dorm nuit demand pas plus séjour longu dur recommand pas pet déjeun copieux bon viennoiser bon liter sol pent répercut couchag sall bain n'est pas pratiqu mouvoir robinet cass coup danger chaîn télévis non accessibl brui matin surtout dimanch,0.0
superb,1.0
satisf accueil excellent réception toujour disponibl plais satisfait reviendron chez install douch plac baignoir,1.0
bien proxim carrefour market intéress canap,1.0
parf personnel tranquil,1.0
bien,1.0
bien climatis proxim métro cot authent l'hotel liter doubl vitrag wc rempl lent odeur vieux plus perceptibl tach vieux calcair interstic douch rideau pas assez larg fenêtr manqu luminos chambr éclairag insuffis pet dej leg choix viennoiser pain fruit fromag pomm orang fromag frais uniqu pas sal cher,1.0
exceptionnel proxim confort chambr spacieux bien équip personnel servic chambr pas souri,1.0
fabul,1.0
bien personnel accueil disponibl hôtel propr,1.0
bien,1.0
hôtel agréabl malgr qquelqu detail regl situat decor chambr l'hôtel absenc par douch pommeau douch fonction mal pas assez pris électr pas pris bouilloir pas serrur,1.0
magiqu class parf styl art déco personnel parf pet déjeun merveil rien,1.0
agréabl personnel professionnel liter confort aucun insonoris entre chambr,1.0
lieu confort propr facil d'acces rapport qualit prix bookingcom confort matel déco bien équip relat spacieux facil accessibl proch transport bon prix internet qu'un machin caf pai disponibl capsul faudr rajout sachet thé caf solubl pet biscuit bouilloir possibl offert,1.0
attent certain réception endroit cool l'emplac top parking plus bien util petit-déjeun copieux accueil affabl arriv samed janvi ver 13h30 accueil réception désagré expliqu véhément cart virtuel fonction pas jai montr reçu booking indiqu réserv pai bien indiqu qu'il appel matin don inform jai égal reçu messag vi booking écrit majuscul form politess expliqu problem heureux respons dir n'et pas problem réception voul appel booking solution entre booking accor surtout ferm,1.0
reviendr acceuil parf pourt context difficill flux clientel imprevu cascad fermetur hotel intempest covid19 pas bouilloir disposit ptidej annul suit covid19 bref presqu insignifi context inattendu,1.0
bien l'accueil personnel situat géograph l'hôtel équip vieil douch,1.0
exceptionnel deco styl ambianc vu personnel ador équip vrai coup cœur part,1.0
bien propret confort lir isol entendon tout convers hotel,1.0
agréabl chambr refair servic,1.0
exceptionnel excellent accueil emplac piscin garag excellent isol contr voi rapid,1.0
idéal plac difficult commun veilleur nuit not check out,1.0
cher prestat personnel agréabl propret pas télévis chambr pas d'ascenseur pet déjeun frugal tarif élev regard l'équip,1.0
bien personnel desk équip chambr personnel empruntent l'ascenseur certain nonchal bug tablet,1.0
formid sup pet déjeun bon situat géograph,1.0
agréabl fonctionnel rapport qualité/prix personnel accueil courtois disponibl chambr calm propr n'aim pas distributeur automat denr,1.0
bien,1.0
bien,1.0
séjour agréabl calm ru agréabl d'aut plus appréci proxim vi parisien not pouvoir pied acces restaur 5em pas inform garag pas adapt gros véhicul mauv rapport qualit prix,1.0
bien piscin jet mass qualit restaur qualit soin soin visag praticien dont doigt l'halein sent cigaret désagré bain hydromass laiss marqu peau bleu propret amabl personnel soin revoir,1.0
idéal nuit cann lor fij beaucoup appréci l'accueil l'accueil beaut lieux,1.0
adress attent chambr calm propret l'emplac découvr moment entré chambr l'on m'av don chambr trois lit simpl j'av demand chambr grand lit l'accueil mail confirm l'hôtel m'en inform nul,1.0
agréabl,1.0
exceptionnel,1.0
fabul gentilless l'amabl professionnel respectu sommeil d'autrui,1.0
exceptionnel,1.0
félicit reviendron établ prestigi,1.0
exceptionnel,1.0
hôtel fantais surpren beaut lieux hammam accueil chaleur délicat attent occas anniversair mariag énorm merc tout équip,1.0
exceptionnel,1.0
fabul,1.0
bien,1.0
fabul,1.0
agréabl chauffag pet dejeun etre garn dun pani fruit pas fruit uniqu yaourt,0.0
bien proxim commod métro propret gentilless personnel crêp maison pet dejeun,1.0
bien chambr sall bain confort l'insonoris l'intérieur l'hôtel pourr meilleur rien catastroph,1.0
bien surclass cafeti pas ascenseur,1.0
bien,1.0
bien manqu rmc sport,1.0
exceptionnel propret chambr cour calm personnel attention l'écout hôtel pas l'arrêt métro républ pas l'arrêt templ,1.0
séjour repos personnel accueil j'ai aim configur l'appart climatis confort lit personnel accueil caf nexpresso gratuit tout heur pet déjeun n'est pas assez copieux bien produit qualit grand proxim récept gên,1.0
bien hotel connaiss déjà bien situ chambr pet excellent bouilloir thé caf mini-bar calm personnel départ matin inégal dam souri pol l'homm dit bonjour revoir merc con pas non plus,1.0
fabul,1.0
bof bof grand douch toilet chambr propr rien redir liter chang mal insonoris pas propr l'hôtel,0.0
superb établ côt gar propr personnel accueil gentil beaucoup choix pet déjeun spa piscin hamam endroit transat coup mond cas week-end vrai embêt personnel accueil spa pas aimabl enver samed octobr 19h déconseil couleur noir mettr pied là-b non hôtel sympath,1.0
tre sejour hotel bien plac pet déjeun top sup bien plac quarti républ accueil personnel impecc boisson mettr disposit pet déjeun copieux bref tre plan paris chambr pas énorm pas chos dorm m'all parfait,1.0
excellent moment pass établ établ qualit personnel attent disponibl recommand aucun hésit rien,1.0
bien,1.0
exceptionnel,1.0
hôtel plais pourron reven l'établ bien tenu personnel agréabl égal aim proxim métro 2mn pied manqu toutefois d'un d'insonoris problem clientel indélicat cri couloir soir tard,1.0
bien calm chambr l'accueil récept,1.0
exceptionnel propret impecc position parf professionnel attention,1.0
agréabl,1.0
fabul rien,1.0
fonctionnel agréabl idéal emplac idéal hôtel personnel écout design chambr cosy modern pas pet déjeun brui,1.0
satisfais bon literietres bien situéchambr calm pet déjeun amélior,1.0
agréabl tranquill studieux l'espac chambr wi-f cafeti,1.0
bien,1.0
exceptionnel,1.0
bien malgr salet studio studio sauf propret minut croiset studio sall sall douch pet rideau coll peau,1.0
bien propret toujour impecc personnel toujour sympath manqu évident d'ustensil cuisin mang yaourt cuiller soup pas génial pas passoir pas bouilloir qu'il précis qu'il,1.0
bien,1.0
bien bien situ côt métro idéal,1.0
bien l'accueil superfic chambr douch difficil regl,1.0
bien,1.0
bien chambr beau pet dejeun vrai faibl reception inpol incompet,1.0
bien propr lir confort bien plac quarti symp bruit ascenseur entend chambr temp,1.0
excellent séjour aim établ,1.0
bien proxim commod métro propret gentilless personnel crêp maison pet dejeun,1.0
exceptionnel terr pet déjeun agréabl beau bouff d'air,1.0
bien sall d'eau impecc moquet déplor tach,1.0
bien,1.0
sup,1.0
topissim j'ai pass séjour agréabl recommand parf,1.0
bien styl l'hôtel vu chambr confort check froid aimabl,1.0
bien hôtel conseil proxim proch gar liter bon sup proch gar,1.0
hôtel raffin personnel charm décor hôtel ambianc chambr pet dejeun produit qualit personnel attention rien,1.0
exellent séjour pas montmartr coeur pari bel hôtel calm excellent lit bien situ flân coeur pari,1.0
agréabl emplac décor chambr lumin propret chambr non insonoris entend tout convers voisin,0.0
bien isol sonor faibl,1.0
bien,1.0
bien accueil disponibil personnel simpliqu gentilless,1.0
parf servic remarqu personnel d'un gentiklless exceptionnel pet dejeun parf hotel tre bien situ 50m plag,1.0
fac parc exposit emplac idéal fac parc hôtel idéal rendr salon chambr agréabl subsist odeur vieux tabac froid vestig époqu théoriqu révolu,1.0
exceptionnel accueil sympath,1.0
bien accueil personnel propret surchauff,1.0
découvr l'hôtel ambianc atyp modern équip pas grand chos liter compos sommi lit simpl egalent pas lit doubl,1.0
parf situat géograph visit cann idéal chambr donnent ru brui falloir privilégi chambr donnent cour intérieur,1.0
séjour pari personnel serviabl aimabl hôtel propr pet déjeun accept hôtel situ pres métro commiss pris hotel navet jusqu aéroport pas prix accept,1.0
bien proch arrêt bus pas loin plag proch carrefour mcdo kfc beau coin piscin propr pas surpeupl fêt forrain proch idéal séjour enfant récept ouvert h24 chambr pet hotel ancien bien entretenu,1.0
exceptionnel,1.0
exceptionnel,1.0
exceptionnel,1.0
bien séjour beau présent déclench arrosag automat tôt matin surprendr dur pas longtemp,1.0
agréabl parking l'insonoris chambr proxim l'aérodrom install vieil,1.0
conform attent rapport qualité/prix personnel sympath accueil proxim commerc metro plus quarti calm l'hôtel bien situ liter confort espac bien optimis décor modern parf capital seul bemol sdb support accroch serviet vet dommag,1.0
sent bien grac gentilless personel calm calm lir compfort emplac parf personel aimabl lit décor chambr calm prix raison quarti part commun pas propr surtout moquet l'escali vrai besoin d'un aspir mem d'etr chang usé vu chambr ver pet cour 6m2 miroir au-dessus vasqu teint difficil voir bien maquill mettr lentill heureux miroir port d'entr,1.0
merveil spa vrai sup ains massag top merc esthéticien chambr merveil emplac parf,1.0
exceptionnel hôtel extrêm bien situ propr liter excellent,1.0
bien emplac équip liter pas assez confort pas assez vaissel tel pet,1.0
bien,1.0
hotel pratiqu assez confort étap proxim gar lir sall bain impecc couloir chambr vieillot étroit,1.0
accueil hôtel taill humain accueil situat beaut bât charm terr,1.0
bien parf,1.0
bien,1.0
bien,1.0
fabul,1.0
fabul l'emplac charm désuet personnel l'excellent restaur pas chambr courtois chang apres plag checkout,1.0
séjour rapid confort confort propret chambr pet déjeun copieux symp,1.0
"séjour surclass chambr meilleur qualit l'établ pai plus tax séjour normal frais servic m'éton frai cert faibl mont 1,65 n'apparaissent pas l'annonc booking c'est premi acquitt frai dont comprendr pas quoi correspondent",1.0
reven bonjour week-end sup dor bien cadr sup rien dir reviendr,1.0
fabul,1.0
bien chambr spacieux pet déjeun copieux rapport qualité/prix,1.0
comfort grand chambr confort pet petit-déjeun,1.0
bien hôtel ancien confort verdur,1.0
bien liter nickel silenci pet déjeun servic gard bagag bien venu,1.0
bien,1.0
facil circul métro tax c'est emplac eme arrondissemsent lepet déjeun gentilless personnel facilit tax récept l'écout d'accord gard bagag plusieur jour chambr pet valis plus boug pas grand chos,1.0
agréabl,0.0
exceptionnel confort lir emplac,1.0
bien pet dejeun tre bien exterieur agreabl,1.0
exceptionnel,1.0
exceptionnel,1.0
bien rapport qualit prix bien situ lorsqu util transport commun qualit produit pet déjeun rest revoir,1.0
tre confort design personnel gentil déco l'atmospher j'aur aim trouv bouilloir thé caf chambr,1.0
superb l'ambianc cosy déco raffin propret emplac idéal proxim d'un station métro l'excellent rapport qualité/prix d'un promot éton avantag,1.0
exceptionnel aim cettel hotel propret gen travail gentil respect content,1.0
week end moulin roug personnel gentil serviabl lit confort pet déjeun correct manqu propret moquet tâch poussi encadrur port cuvet cass bal cass l'eau chaud douch mis temp douch ven,1.0
bien,1.0
bien charm bât jol jardin parking gratuit sécuris accueil chaleur chambr agréabl pet déjeun copieux,1.0
exceptionnel,1.0
agréabl personnel tre symp sal pet déjeun pet déjeun agréabl bien présent rien photo sit internet j'ai réserv,0.0
fabul emplac personnel gentil serviabl liter confort,1.0
fabul,1.0
fabul,1.0
bien plac bien accueil sup sup liter personnel symp pet dej cher c'est,1.0
dorm heur bien plac minut gar lyon échang qu'en anglais,1.0
excellent gentilless personnel situat propret rien,1.0
séjour agréabl hôtel recommand l'emplac calm lir spacieux confort douch l'italien propret décor salon cosy prix élev pet déjeun espac rang étroit,1.0
séjour bon literietres accueil rien spécial,1.0
fabul,1.0
bien pet déjeun correct grand lit confort propr sall eau pet prix attendr mieux,1.0
fabul,1.0
exceptionnel,1.0
fabul emplac propret accueil bien,1.0
top expérient sup wif l'arriv hôtel chaleur sent bien j'ai travaill bar vérand agréabl wif turbo gratuit méga-octet chambr jol décor liter exceptionnel vu sacr coeur parking l'hôtel côt métro personnel charm toujour pet soin recommand reviendr vit week-end amour top,1.0
fabul,1.0
exceptionnel hôtel confort propr calm,1.0
satisf accueil tre chaleur serviabl chambr confort propr hotel tre proch parc exposit transport manqu min frigo chambr,1.0
exceptionnel chambr exécut vu mer piscin pet déjeun bon qualit personnel sympath,1.0
superb clean and comfort accommod staff very friendly and helpful,1.0
fabul,1.0
reviendr disponibil écout personnel répons attent client confort chambr emplac milieu cour magnif ficus plastiqu dommag,1.0
exceptionnel jol pet hôtel fac gar trouv croiset décor soign pet déjeun buffet vari chambr confort bien agenc gar voitur parking pai proch hôtel ru adjacent cherch parking affreux cher malgr réduct accord hôtel oubli précis personnel charm pet bémol laiss fenêtr ouvr brui logiqu puisqu vill ferm isol parfait,1.0
agréabl calm l'hôtel situat proxim croiset parking,1.0
exceptionnel chambr rez-de-chauss brui pet déjeun bar,1.0
excellent renouvel refair,1.0
magnif séjour personnel vrai top liter confort personnel top accueil,1.0
séjour proxim croiset centr cann,1.0
agréabl,1.0
emplac splendid personnel magnif emplac pet duplex,1.0
séjour tré agréabl personnel disponibl possibil utilis sall sport,1.0
exceptionnel,1.0
fabul,1.0
exceptionnel l'accueil petit-déjeun terr rien,1.0
fabul,1.0
week-end sûr cann spa liter servic emplac hôtel aspect général déco chambr kitsch étoil sall bain surann bruit nocturn motoris sûr toit dessus chambr situ,1.0
bien liter rien,1.0
propr emplac localis accueil coussin gros liter moll,1.0
séjour agréabl hôtel agréabl pet attent caf thé chambr arriv séjour agréabl,1.0
excellent tre hotel trouv centr vill bord mer servic excellent oubl port monnai chequi passeport etc coffr fort chambr trouv essay moyen joindr gard objet import precieux chez patron remerc infin servic vais retourn anne prochain remerc arigatou,1.0
excellent sejour climatis liter rien,1.0
bien situat géograph faut allez ru hôtel aller récuper clé chambr compliqu gen pas région faut son dir numéro chambr veut rentr badg plus simpl,1.0
exceptionnel personnel soir ador propret exceptionnel,1.0
exceptionnel,1.0
bien,1.0
hotel agréabl l'emplac confort,1.0
bien l'accueil efficac marion,1.0
bien l'emplac l'open bar bien choix niveau boisson lir l'insonoris c'et vrai calm prix parking priv caution euro savoir raison pet déjeun franch passabl,1.0
exceptionnel bien liter excellent manqu quoi restaur soir,1.0
superb climatis proxim vieux port liter parking bien situ pass quarti rassur aller vieux port,1.0
bien personnel extrêm accueil sympath quant chambr singl fond cour cert pet rang /pender propr calm liter bon qualit,1.0
exceptionnel,1.0
exceptionnel,1.0
sup séjour emplac plac rang plus plus rar hôtel,1.0
agréabl lit assez pet drap pourr etre meilleur qualit étoil lumier autour port chambr nuit,1.0
bien,1.0
exceptionnel emplac idéal journ quelqu minut gar minut pied personnel chaleur agréabl souri écout plus rapport qualité/prix def tout concurrent secteur chambr spacieux bien équip bar plus vit plus long séjour,1.0
exceptionnel rien dir charm hôtel personnel aven souri chambr pas grand confort bien situ entre passag écart boulevard calm excellent pet déjeun,1.0
bien,1.0
agréabl emplac décor chambr chambr pet fenêtr ascenseur pet personnel pas agréabl,1.0
bien l'entr l'accueil spa saun,1.0
bien bien situ 20m station laumi quarti symp ru meau personnel agréabl aven,1.0
bien emplac,1.0
havr pres croiset chambr charm souh décor pens détail l'emplac cann idéal permet d'all croiset vingt minut l'avantag d'un nuit calm d'un réveil ensoleil chant oiseau pet déjeun propos choix qualit muffin gâteau fruit confitur délic fait maison hôt ador soignent spontané chaleur rav séjour reviendron certain,1.0
fabul,1.0
toujour top déco qualit liter vu pet déjeun norm parf,1.0
séjour recommand fort pet hôtel prix,1.0
agréabl séjour chambr spacieux calm hôtel chambr terr vu agréabl piscin liter confort sanitair propr proch centr cann calm parf,1.0
agréabl,1.0
superb staff etait vrai tre serviabl excellent conseil,1.0
proxim agréabl hôtel modern terr pet déjeun manqu pender,1.0
séjour personnel accueil agréabl pet dejeun copieux bon liter local propr,1.0
bien hôtel pas métro bien situ 19em commerc restaur proxim grand hall vilet min pied petit-déjeun copieux chambr confort grand lit propr façon général hôtel assez calm chambr assez pet pir sall bain compliqu mouvoir lavabo riquiqu permettr pas grand chos dommag sinon c'est fonctionnel,1.0
hôtel propr agréabl personnel sourir disponibl pet déjeun pourr plus diversifi,1.0
bien liter confort équip disposit ventilo allum entrant chambr bien pens pas grand chos passag femm ménag 10h jusqu 11h30 laiss chambr,1.0
exceptionnel,1.0
parf confort retard accueil,1.0
hotel acceuil rapid qualit mod 24/7 litter confort chambr spacieux commun refait récent situat géograph proch gar métro idéal,1.0
bien,1.0
mag noël personnel l'accueil agréabl professionnel l'écout présent petit-déjeun montr serviabl souri buffet parf copieux chambr spacieux liter confort nécessair toilet présent c'est parl pet cadeau bienvenu personnalis n'est jam parf j'aur aim beurr sal buffet,1.0
bien prix rien nickel,1.0
exceptionnel psa répondu demand d'étag,1.0
fabul,1.0
satisf,1.0
exceptionnel,1.0
pet déjeun copieux lir sup moelleux,1.0
servic toujour rendez-vous confort chambr pet chambr dit privileg min bar toujour appréci ains autr petit attent carnet crayon fer repass rapport qualit prix 100€ sall bain pet toilet sépar chauffag,1.0
séjour agréabl personnel gentil chambr propr calm satisfair séjour hôtel,1.0
bien,1.0
bien bel emplac visit pari pet déjeun oubli,1.0
séjour emplac emplac calm proch gar liter pdj accueil niveau chambr pas grand pari,1.0
agréabl,1.0
fabul chambr lumin bel équip japon espac optimis pas cafeti el chambr part 5h30 pouv bénéfici pet déjeun lumi maquill,1.0
pas mal mieux situat géograph proxim gar confort lir beaucoup d'oreiller sall bain agréabl personnel présent l'accueil 24h/24 pet bouteil d'eau offrir pet frigo climatis pas machin caf bouilloir chambr visibl grand classiqu cann dommag surtout prendr pas pet déjeun séjour brui étag mal insonoris voisin étrang express nuit claqu port voix entrées-sort incess disput etc sall pet déjeun proxim chambr jol photo voir pas top cour mégot cigaret sol bruit ronron d'un group électrogen chauffe-eau ouvr fenêtr seul pris électr,1.0
exceptionnel,1.0
bien accueil top personnel gentil coin spa top hôtel propr,1.0
fabul,1.0
prix competit qualit éloign centr pari pet déjeun correct personnel agreabl compromettr qualité/prix accept plac parking disponibl prix accept equip chambr leg prendr douch l'eau coul chambr eclairag pas tre perform moquet hall lenteur ascenseur cris,1.0
bien l'emplac courtois personnel déclench system d'alarm plein nuit répar system plomber chambr télécommand téléviseur fonction pas chambr,1.0
pass séjour paris hotel confort bien équip situat géograph pres plac d'ital quai d'austerlitz mis disposit chambr apres cours semi-marathon pari prendr douch aim petit-déjeun serv part venion semi-marathon paris départ l'ouvertur pet déjeun parking voitur pet faut pens réserv plac,1.0
bien emplac fac boit nuit,1.0
pet hôtel sympath bien situ emplac hôtel parf personnel sympath pet déjeun bien fourn pet bémol odeur œuf sall dû certain pan cak pardon vu sympath équip reviendr,1.0
bien bien situ calm min pied ru d'antib pigeon terr pas perm prendr pet déjeun l'extérieur oblig rentr grand sall pigeon mang tabl dommag personnel pouvoir rien,1.0
exceptionnel,1.0
fabul pet déjeun top hôtel idéal transport fac gar lyon,1.0
bien,1.0
fabul chambr sup spacieux lir confort personnel top pas kit bross dent,1.0
propr chambr propr personnel agreabl min pied sacr coeur trianon cigal pet déjeun plus élarg choix douch revoir difficil gar,1.0
agréabl emplac taill chambr sall bain neuf parquet chambr couloir escali moquet vetust ascenseur rentr pousset mem pli rentr pas,1.0
cann confort chambr douillet personnel l'écout bon offre prix derni minut chambr bookingcom pet déjeun beaucoup cher 29€ rapport typ d'établ,1.0
bien,1.0
accueil irréproch pend séjour j'ai anticip départ rembours parf hammam parf,1.0
rapport qualit prix intéress accueil chambr fonctionnel liter équip sall bain pet pet déjeun cher chambr brui,1.0
bien,1.0
tre hotel tre prix plein centr pari tre bien plac chambr tre jol cosy jol pet dej l'air sup n'en pas profit,1.0
bon prestat situat excellent attent prix s´envolent certain dat bon prestat situat excellent prix mi-juin remarqu vaut hôtel flexibil prix assez scandal prestat valent clair pas euro nuit,1.0
exceptionnel,1.0
exceptionnel emplac personnel patron sympath décor original chambr extérieur pet déjeun agréabl,1.0
tarif inappropri pet déjeun demand personnalis non pris compt,1.0
bien disponibil l'amabl concierg bon tenu l'ensembl complex,1.0
exceptionnel accueil gentilless personnel plus particuli cel femm chambr reçu arriv heur check chambr déjà prêt situat hôtel vrai parfait côtej recommand fort hôtel point,1.0
exceptionnel localis brui chambr hall d'accueil,1.0
exceptionnel,1.0
mitig pass séjour liter l'emplac pet déjeun paroi douch italien etait pas étanch coup sdb eau écoul manqu aerat chambr oblig ouvr fenêtr ventil hiv pas top,1.0
exceptionnel ras,1.0
pratiqu entre train avion l'accueil l'emplac géograph proch gar montparn metro resto chambr pet pas possibl d'ouvr fenêtr pas climatis cepend pet ventil brui nuit mis disposit,1.0
exceptionnel hôtel mignon personnel agréabl souri chambr charm pet déjeun copieux,1.0
exceptionnel bess geht kaum sehr net kontakt und sehr hilfsbereit vielen dank für alle,1.0
séjour confort repos accueil chaleur famill ador disponibl rien,1.0
agréabl,1.0
exceptionnel ras,1.0
exceptionnel vill jardin magnif chambr beau tre confort grand lit matel confort pet déjeun copieux mention spécial décor beau merc propriétair lieux présenc d'avoir pet soin rien,1.0
fabul idéal plac fac gar lyon pet ru calm beau rénov rdc calm chambr calm propr confort seul pet ascenseur lent déssert étag pet déjeun choix produit frais,1.0
bien pet déjeun accueil rapport qualit prix surclass bruit proven couloir hôtel rafraîch niveau chambr sall bain,1.0
rapport qualit prix accueil beau liter confort beau prestat salon loung sup déco pas bouilloir thé bouteil d'eau chambr,1.0
bien l'emplac proxim lieux pari propret drap,1.0
déçu personnel top chambr pet pas possibl join douch noir qualit pet déjeun médiocr,0.0
exceptionnel,1.0
bien,1.0
fabul excellent acceuil l'ensembl servic sall bain manqu sieg pos affair,1.0
séjour novembr second séjour établ personnel accueil courtois efficac situat hôtel station métro pernety pratiqu station montparn quarti gait proch permettr sort attent uber géolocalis fonction pas bien situ hôtel chauffeur pas trouv,1.0
exceptionnel confort calm propret parking rien parf,1.0
superb accueil modern enregistr informatis grand espac détent beau déco personnel petit soin serviabl pas bouilloir chambr possibil eau chaud thé beau espac détent accueil personnel accueil chaleur bien situ,1.0
exceptionnel acceuil respectu ambianc famillal professionnel plong sous-marin,1.0
fabul déco pas bouteil d'eau dommag,1.0
agéabl confort accueil homm grand brun jeun agréabl répondu question j'av toujour sourir chambr jol coquet propr cepend coup peintur certain endroit pas lux,1.0
bien,1.0
